Date/Time,CPU Usage %,Temperature C
2022-03-22 03:25:02.131877,0.6,35.5
2022-03-22 03:25:12.527091,0.3,35.5
2022-03-22 03:25:22.765625,0.4,36
2022-03-22 03:25:33.210962,0.5,35.5
2022-03-22 03:25:43.584566,0.9,35.5
2022-03-22 03:25:53.823918,0.4,35.5
2022-03-22 03:26:04.054913,0.6,35.5
2022-03-22 03:26:14.291576,0.3,35
2022-03-22 03:26:24.742994,0.4,35.5
2022-03-22 03:26:34.974065,0.6,36.5
2022-03-22 03:26:45.218521,0.9,35.5
2022-03-22 03:26:55.525770,0.5,35
2022-03-22 03:27:05.865878,0.5,35.5
2022-03-22 03:27:16.090076,0.4,35.5
2022-03-22 03:27:26.358149,0.5,35
2022-03-22 03:27:36.595578,0.7,35.5
2022-03-22 03:27:47.080788,0.8,35.5
2022-03-22 03:27:57.315403,0.3,35
2022-03-22 03:28:07.558089,0.5,36
2022-03-22 03:28:17.793593,0.5,35.5
2022-03-22 03:28:28.029357,0.4,35.5
2022-03-22 03:28:38.258176,0.5,35.5
2022-03-22 03:28:48.619015,0.8,35.5
2022-03-22 03:28:58.837441,0.6,36
2022-03-22 03:29:09.076444,0.5,35.5
2022-03-22 03:29:19.329358,0.4,37
2022-03-22 03:29:29.553232,0.5,36
2022-03-22 03:29:39.785111,1,36.5
2022-03-22 03:29:50.004227,0.6,35
2022-03-22 03:30:00.261796,0.4,35.5
2022-03-22 03:30:10.588315,0.4,35.5
2022-03-22 03:30:20.852699,0.4,35.5
2022-03-22 03:30:31.102076,0.5,35
2022-03-22 03:30:41.552010,1,35.5
2022-03-22 03:30:51.991379,0.4,35.5
2022-03-22 03:31:02.277637,0.5,36.5
2022-03-22 03:31:12.509391,0.4,34.5
2022-03-22 03:31:22.806500,0.5,36
2022-03-22 03:31:33.064377,0.4,36
2022-03-22 03:31:43.315630,0.9,36
2022-03-22 03:31:53.556022,0.4,34.5
2022-03-22 03:32:03.787929,0.7,36.5
2022-03-22 03:32:14.040924,0.5,35.5
2022-03-22 03:32:24.359448,0.5,35
2022-03-22 03:32:34.621768,0.4,36
2022-03-22 03:32:45.070766,1,36
2022-03-22 03:32:55.400795,0.3,37
2022-03-22 03:33:05.686289,0.6,35.5
2022-03-22 03:33:15.990364,0.5,35
2022-03-22 03:33:26.271659,0.5,35.5
2022-03-22 03:33:36.578153,0.5,35
2022-03-22 03:33:46.794864,0.9,35
2022-03-22 03:33:57.114091,0.4,35
2022-03-22 03:34:07.419252,0.5,34.5
2022-03-22 03:34:17.718395,0.5,35
2022-03-22 03:34:28.011336,0.5,36
2022-03-22 03:34:38.309857,0.5,34.5
2022-03-22 03:34:48.841818,0.8,36
2022-03-22 03:34:59.155969,0.4,35
2022-03-22 03:35:09.465391,0.4,36
2022-03-22 03:35:19.716528,0.5,36
2022-03-22 03:35:30.033229,0.4,35.5
2022-03-22 03:35:40.269080,1,35
2022-03-22 03:35:50.782124,0.5,35.5
2022-03-22 03:36:01.145159,0.6,35.5
2022-03-22 03:36:11.443543,0.3,35.5
2022-03-22 03:36:21.757284,0.5,36
2022-03-22 03:36:32.110691,0.6,35.5
2022-03-22 03:36:42.447242,0.9,36.5
2022-03-22 03:36:52.681536,0.3,36
2022-03-22 03:37:02.981044,0.4,35.5
2022-03-22 03:37:13.293071,0.5,35
2022-03-22 03:37:23.594085,0.3,35
2022-03-22 03:37:33.840759,0.6,36
